problem,language,rank_test_score,PCA_componentes,ngram_range,sublinear_tf,norm,mean_test_score,std_test_score,mean_train_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,mean_score_time,mean_fit_time,std_fit_time,std_score_time,std_train_score
1,inglesa,20,0.9,"(2, 3)",True,l2,0.6059524,0.10775434,0.99664336,0.58,1.0,0.62666667,1.0,0.625,1.0,0.40333334,0.9916084,0.8,0.9916084,0.3459131717681885,1.5379038333892823,0.15462181389458896,0.1304663276698519,0.00411103173613958
1,inglesa,43,0.9,"(2, 3)",False,l2,0.5131973,0.06292421,0.92535967,0.47166666,0.91871405,0.51619047,0.9373252,0.55833334,0.9335914,0.425,0.9365218,0.6333333,0.90064603,0.3582714080810547,1.5224946022033692,0.1988516987681225,0.11957662349275858,0.014074493075114934
1,inglesa,15,0.9,"(2, 4)",True,l1,0.61887753,0.09639331,1.0,0.6352381,1.0,0.60833335,1.0,0.68333334,1.0,0.41166666,1.0,0.75,1.0,0.5134235858917237,2.104295253753662,0.18369329387709077,0.1715015421724815,0.0
1,inglesa,25,0.9,"(2, 4)",False,l1,0.5595578,0.104925774,0.9910964,0.63166666,0.989899,0.44761905,1.0,0.68333334,0.98327506,0.425,1.0,0.65,0.9823077,0.5077664375305175,2.145298624038696,0.19553818768679637,0.18295915050918912,0.007725241046539274
1,inglesa,12,0.9,"(2, 4)",True,l2,0.6292177,0.10189186,1.0,0.6311905,1.0,0.6652381,1.0,0.64166665,1.0,0.40333334,1.0,0.76666665,1.0,0.515015983581543,2.1246402263641357,0.20478211647662642,0.1918119532075084,0.0
1,inglesa,34,0.9,"(2, 4)",False,l2,0.52908164,0.090877146,0.97729605,0.59,0.97979796,0.41595238,0.989899,0.59166664,0.96713287,0.45,0.9755245,0.65,0.97412586,0.5178945064544678,2.110490655899048,0.196270993874535,0.18359123330895458,0.007504299087813153
1,inglesa,4,0.9,"(2, 5)",True,l1,0.63673466,0.093522705,1.0,0.65190476,1.0,0.6433333,1.0,0.69166666,1.0,0.425,1.0,0.75,1.0,0.6923035621643067,2.8383912563323976,0.2565505467162657,0.24533086283321637,0.0
1,inglesa,24,0.9,"(2, 5)",False,l1,0.56595236,0.111721225,1.0,0.6116667,1.0,0.46333334,1.0,0.68666667,1.0,0.40833333,1.0,0.71666664,1.0,0.6896409511566162,2.8286059856414796,0.2594864757303093,0.2450625472702696,0.0
1,inglesa,9,0.9,"(2, 5)",True,l2,0.63037413,0.07288502,1.0,0.6304762,1.0,0.64666665,1.0,0.64166665,1.0,0.475,1.0,0.7416667,1.0,0.6766353607177734,2.781253147125244,0.21652664485822873,0.2462825127395139,0.0
1,inglesa,26,0.9,"(2, 5)",False,l2,0.557381,0.11911665,0.9979798,0.61,0.989899,0.42666668,1.0,0.68666667,1.0,0.425,1.0,0.71666664,1.0,0.685999584197998,2.79382119178772,0.2492885990090035,0.24996812391675682,0.004040404040404022
1,inglesa,23,0.9,"(3, 5)",True,l1,0.5822109,0.094636515,1.0,0.65190476,1.0,0.515,1.0,0.51666665,1.0,0.475,1.0,0.75,1.0,0.5228080749511719,2.1553701400756835,0.13242186384406346,0.17895175052989754,0.0
1,inglesa,29,0.9,"(3, 5)",False,l1,0.55285716,0.087021776,1.0,0.6,1.0,0.45,1.0,0.63666666,1.0,0.46666667,1.0,0.6666667,1.0,0.5167367458343506,2.152248811721802,0.15797930121578763,0.18346873351683549,0.0
1,inglesa,7,0.9,"(3, 5)",True,l2,0.63411564,0.073597424,1.0,0.65190476,1.0,0.64666665,1.0,0.625,1.0,0.475,1.0,0.7416667,1.0,0.521146821975708,2.158060836791992,0.17321193931493276,0.1896760574445235,0.0
1,inglesa,30,0.9,"(3, 5)",False,l2,0.5492857,0.101543084,1.0,0.58666664,1.0,0.43,1.0,0.68666667,1.0,0.45833334,1.0,0.6666667,1.0,0.521335220336914,2.163893938064575,0.20624045131282093,0.1961905308716513,0.0
1,inglesa,6,0.999,"(2, 3)",True,l1,0.6343197,0.09792994,1.0,0.61261904,1.0,0.6766667,1.0,0.69166666,1.0,0.42,1.0,0.75,1.0,0.3525509834289551,1.4843122005462646,0.12248614854880684,0.12716764847254647,0.0
1,inglesa,39,0.999,"(2, 3)",False,l1,0.5173696,0.06678891,0.9899001,0.56166667,1.0,0.449127,1.0,0.51666665,0.98376626,0.45,0.9916084,0.6333333,0.97412586,0.36083641052246096,1.5219293117523194,0.19017330463102544,0.11746935118169774,0.00993362710333925
1,inglesa,5,0.999,"(2, 3)",True,l2,0.6347959,0.11351622,1.0,0.6242857,1.0,0.675,1.0,0.625,1.0,0.40333334,1.0,0.81666666,1.0,0.34391107559204104,1.4479521274566651,0.13941346560779008,0.12060978669511067,0.0
1,inglesa,40,0.999,"(2, 3)",False,l2,0.5172109,0.07911037,0.9899001,0.56333333,1.0,0.44690475,1.0,0.56666666,0.98376626,0.4,0.9916084,0.6333333,0.97412586,0.34923577308654785,1.4754201889038085,0.1862863656912024,0.11742457109009034,0.00993362710333925
1,inglesa,10,0.999,"(2, 4)",True,l1,0.6303061,0.10678024,1.0,0.6252381,1.0,0.6333333,1.0,0.65833336,1.0,0.42,1.0,0.81666666,1.0,0.5131435394287109,2.0900646686553954,0.2101307131799611,0.1735438953617302,0.0
1,inglesa,32,0.999,"(2, 4)",False,l1,0.5477778,0.095313,1.0,0.5466667,1.0,0.42722222,1.0,0.6533333,1.0,0.53333336,1.0,0.7,1.0,0.512506628036499,2.116421604156494,0.13722560138895137,0.18542688165964089,0.0
1,inglesa,1,0.999,"(2, 4)",True,l2,0.65459186,0.12594526,1.0,0.6352381,1.0,0.65,1.0,0.7083333,1.0,0.42,1.0,0.8833333,1.0,0.5251177787780762,2.077925443649292,0.21026526590154568,0.1947149854784636,0.0
1,inglesa,31,0.999,"(2, 4)",False,l2,0.5484921,0.107302465,1.0,0.545,1.0,0.42722222,1.0,0.60333335,1.0,0.525,1.0,0.76666665,1.0,0.5142519474029541,2.0912792682647705,0.19204437050190715,0.17920741398226192,0.0
1,inglesa,13,0.999,"(2, 5)",True,l1,0.6288776,0.099301144,1.0,0.6452381,1.0,0.6433333,1.0,0.53333336,1.0,0.475,1.0,0.81666666,1.0,0.6662793636322022,2.782073640823364,0.2254953572455238,0.24090244706554897,0.0
1,inglesa,33,0.999,"(2, 5)",False,l1,0.54234695,0.12200871,1.0,0.5335714,1.0,0.4004762,1.0,0.6533333,1.0,0.5083333,1.0,0.76666665,1.0,0.6867348670959472,2.7564337730407713,0.2361341888981127,0.24218154070195289,0.0
1,inglesa,8,0.999,"(2, 5)",True,l2,0.6334694,0.11621151,1.0,0.6419048,1.0,0.5752381,1.0,0.64166665,1.0,0.475,1.0,0.8833333,1.0,0.6758788108825684,2.7809638023376464,0.25083304052496935,0.24605704178823165,0.0
1,inglesa,37,0.999,"(2, 5)",False,l2,0.5223469,0.10987141,1.0,0.5335714,1.0,0.3788095,1.0,0.595,1.0,0.52,1.0,0.71666664,1.0,0.662364149093628,2.7840628623962402,0.25665561053266117,0.23088629809697817,0.0
1,inglesa,18,0.999,"(3, 5)",True,l1,0.6116667,0.10275954,1.0,0.65,1.0,0.58666664,1.0,0.51666665,1.0,0.475,1.0,0.81666666,1.0,0.523560619354248,2.146164798736572,0.17392162756748866,0.18901361102962455,0.0
1,inglesa,28,0.999,"(3, 5)",False,l1,0.5539456,0.11222446,1.0,0.55523807,1.0,0.4252381,1.0,0.64166665,1.0,0.5083333,1.0,0.76666665,1.0,0.5105425834655761,2.1292632102966307,0.194561714783975,0.1774915794855284,0.0
